transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes
T09743,U111,2019-01-01,expense,utilitis,80,bank transffer,hyderabad,Dinner at resto
T02999,U126,2019-01-01,expense,food,105,upi,mumbai,Course fee
T01033,U160,2019-01-01,expense,food,3942,cash,mumbai,Netflix subscription cash
T06082,U073,2019-01-01,income,bonus,28500,cash,lucknow,Course fee
T00249,U139,2019-01-01,expense,rent,91,unknown,lucknow,whnSeeESjiynE
T05326,U026,2019-01-01,expense,others,132,bank transfer,pune,
T05837,U073,2019-01-01,expense,food,604,cash,unknown,Netflix subscription
T04991,U060,2019-01-01,expense,travel,637,card,chennai,
T06936,U099,2019-01-01,income,other income,81561,upi,unknown,Gift
T02270,U167,2019-01-01,expense,rent,879,cash,hyderabad,Salary
T14448,U153,2019-01-02,expense,travel,524,upi,ahmedabad,Doctor visit
T01577,U032,2019-01-02,expense,travel,79,cash,hyderabad,Dinner at resto via app
T06891,U117,2019-01-02,expense,food,122,card,ahmedabad,Paid electricity bill cash
T11905,U008,2019-01-02,expense,rent,504,cash,kolkata,Gift cash
T13877,U092,2019-01-02,expense,travel,379,cash,chennai,
T04007,U065,2019-01-02,expense,others,754,bank transfer,lucknow,Paid electricity bill
T09905,U077,2019-01-02,expense,food,365,cash,hyderabad,Uber to office
T01934,U132,2019-01-02,expense,food,1867,card,lucknow,Netflix subscription
T11041,U032,2019-01-02,expense,food,186,cash,delhi,Uber to office
T04342,U085,2019-01-02,expense,entertainment,200,cash,kolkata,Salary
T06307,U041,2019-01-02,income,bonus,60227,upi,hyderabad,Monthly rent
T14775,U171,2019-01-02,income,salary,69896,card,hyderabad,Doctor visit
T11906,U078,2019-01-02,expense,food,415,upi,unknown,Dinner at resto via app
T03391,U053,2019-01-02,expense,food,234,cash,jaipur,Doctor visit
T08131,U099,2019-01-03,income,sallary,62019,card,jaipur,bl1fpc9K3
T12516,U013,2019-01-03,expense,tavel,451,cash,bengaluru,Uber to office late
T09022,U132,2019-01-03,income,bonus,48256,upi,mumbai,Gift
T10093,U185,2019-01-03,expense,savings,154,card,pune,T6qh1Xrs7uJ
T12642,U173,2019-01-03,expense,rent,1264,upi,bengaluru,Salary late
T10272,U087,2019-01-03,expense,food,21,bank transfer,bengaluru,Gift
T12643,U047,2019-01-03,expense,travel,1562,bank transfer,unknown,Course fee
T01372,U071,2019-01-03,expense,food,1404,bank transfer,lucknow,gn8LNPxXOt1F6jgP
T10514,U187,2019-01-03,income,bonus,66920,cash,jaipur,Course fee
T02608,U188,2019-01-03,income,salary,57895,upi,pune,Doctor visit
T04793,U166,2019-01-03,expense,food,109,card,bengaluru,Grocery shopping
T04129,U139,2019-01-04,income,salary,54561,bank transfer,kolkata,Gift
T05366,U100,2019-01-04,expense,utilities,442,cash,delhi,Doctor visit
T03707,U160,2019-01-04,expense,food,331,card,lucknow,Course fee
T13466,U172,2019-01-04,expense,rent,120,cash,delhi,Monthly rent
T06491,U176,2019-01-04,expense,food,39,cash,jaipur,Gift
T05696,U057,2019-01-04,expense,rent,114,upi,pune,Dinner at resto
T04858,U173,2019-01-04,expense,rent,135,bank transfer,jaipur,Doctor visit late
T01130,U143,2019-01-04,income,other income,76992,cash,hyderabad,Uber to office cash
T10242,U160,2019-01-04,income,bonus,71519,upi,pune,Grocery shopping via app
T14477,U189,2019-01-05,expense,food,682,upi,lucknow,UmTAxj6tiRPdeOXwxh
T07649,U126,2019-01-05,expense,rent,4504,upi,pune,Monthly rent
T14913,U027,2019-01-05,income,other income,86945,bank transfer,kolkata,Netflix subscription
T02674,U075,2019-01-05,income,salary,54975,card,jaipur,Grocery shopping late
T12200,U042,2019-01-05,expense,rent,592,upi,bengaluru,Monthly rent
T11565,U078,2019-01-05,expense,rent,451,card,ahmedabad,Grocery shopping
T03631,U116,2019-01-05,expense,utilities,204,upi,chennai,Uber to office
T10444,U081,2019-01-05,income,bonus,65449,cash,hyderabad,Paid electricity bill
T03107,U134,2019-01-05,expense,utilities,160,cash,lucknow,Gift
T01008,U140,2019-01-06,expense,rent,556,bank transfer,delhi,Salary via app
T10148,U184,2019-01-06,expense,utilities,657,cash,mumbai,Course fee
T13135,U051,2019-01-06,expense,food,127,upi,delhi,
T00251,U028,2019-01-06,expense,rent,1166,bank transfer,mumbai,Grocery shopping late
T11702,U059,2019-01-06,expense,food,590,cash,ahmedabad,Monthly rent
T07041,U014,2019-01-06,expense,food,841,cash,kolkata,Grocery shopping
T02632,U090,2019-01-06,expense,savings,3791,upi,kolkata,Netflix subscription
T04740,U137,2019-01-06,expense,rent,2879,cash,mumbai,Dinner at resto
T05198,U015,2019-01-06,expense,utilities,2172,cash,lucknow,Gift cash
T05324,U043,2019-01-07,expense,oters,1334,cash,mumbai,Netflix subscription
T00846,U055,2019-01-07,expense,food,43,bank transfer,mumbai,Dinner at resto
T08562,U163,2019-01-07,expense,rent,1033,cash,kolkata,Monthly rent
T01880,U120,2019-01-07,expense,travel,1176,cash,ahmedabad,Netflix subscription
T14566,U146,2019-01-07,expense,rent,533,card,hyderabad,Paid electricity bill cash
T02904,U103,2019-01-07,expense,utilities,6048,bank transfer,delhi,Monthly rent
T09919,U177,2019-01-07,income,salary,52861,upi,kolkata,Course fee
T08266,U139,2019-01-07,expense,savings,251,cash,chennai,Grocery shopping
T01325,U188,2019-01-07,income,other income,34858,cash,lucknow,LqbcFYUKJrbcyrjAeqXh
T11402,U125,2019-01-07,expense,utilities,525,bank transfer,jaipur,Dinner at resto
T04832,U121,2019-01-07,expense,rent,964,bank transfer,kolkata,Course fee
T05867,U067,2019-01-07,expense,enertainment,537,cash,ahmedabad,Gift
T03015,U055,2019-01-07,expense,food,43,bank transfer,mumbai,Dinner at resto
T06131,U145,2019-01-07,expense,health,2027,bank transfer,hyderabad,Gift
T14983,U046,2019-01-07,expense,rent,210,bank transfer,jaipur,Paid electricity bill
T11332,U118,2019-01-07,expense,education,25,upi,chennai,Salary via app
T02559,U089,2019-01-08,expense,ret,232,cash,mumbai,Uber to office
T13356,U031,2019-01-08,expense,utilities,100,bank transfer,mumbai,Paid electricity bill
T12068,U035,2019-01-08,expense,food,56,cash,ahmedabad,
T10135,U174,2019-01-08,expense,savings,27,bank transfer,unknown,Doctor visit
T04449,U061,2019-01-08,expense,rent,1107,cash,pune,Netflix subscription
T12934,U135,2019-01-08,expense,entertainment,120,upi,bengaluru,Grocery shopping via app
T13166,U110,2019-01-08,expense,health,118,upi,kolkata,Course fee
T00838,U021,2019-01-08,expense,food,984,cash,jaipur,Doctor visit
T05125,U028,2019-01-08,expense,entertainment,98,card,chennai,Grocery shopping
T01259,U128,2019-01-09,expense,food,105,upi,kolkata,Netflix subscription
T14106,U044,2019-01-09,expense,rent,97,upi,mumbai,Gift
T02395,U040,2019-01-09,income,bonus,39891,upi,delhi,Netflix subscription
T02003,U007,2019-01-09,expense,savings,84,card,kolkata,Grocery shopping cash
T09760,U029,2019-01-09,expense,food,162,card,kolkata,Course fee
T00910,U004,2019-01-09,expense,travel,342,bank transfer,mumbai,Grocery shopping
T00315,U142,2019-01-09,expense,food,143,cash,chennai,
T07853,U008,2019-01-09,expense,food,219,upi,unknown,4yW52nFfU44lccN
T03092,U106,2019-01-09,expense,food,1380,bank transfer,ahmedabad,Monthly rent
T07830,U108,2019-01-09,expense,food,450,bank transfer,mumbai,Gift
T04949,U175,2019-01-09,expense,food,107,upi,delhi,Salary via app
T09996,U087,2019-01-09,expense,education,397,card,bengaluru,Netflix subscription
T02876,U130,2019-01-09,expense,others,2112,cash,hyderabad,Dinner at resto late
T06934,U112,2019-01-10,expense,food,539,bank transfer,lucknow,
T06125,U157,2019-01-10,expense,savings,976,cash,delhi,Dinner at resto late
