category,amount
food,14926430
rent,9272136
utilities,8931339
travel,8070130
entertainment,3821381
others,1442029
savings,1384157
education,1246265
fodo,1021115
rentt,1018786
eucation,999999
health,152501
unknown,114918
foood,37079
traevl,36845
fod,30060
ood,21746
tavel,19734
ffood,18646
rnet,17592
foo,16950
foodd,16912
reent,15641
rnt,13711
ernt,12797
ent,12766
traavel,12173
ren,11293
retn,11074
rennt,10098
ret,9633
ofod,9612
tarvel,9465
travle,9423
rrent,9350
utilitiees,9102
thers,8447
utiltiies,7877
rtavel,7816
heealth,7607
netertainment,6860
trvel,6642
utilitise,6315
tuilities,5733
traveel,5681
utiilities,5489
otehrs,5206
utliities,5189
utilitis,5075
othres,4898
othesr,4898
avings,4651
trave,4637
ttravel,4552
asvings,4433
edcation,3884
entertanment,3818
travl,3751
entertainemnt,3649
saavings,3539
ravel,3503
entretainment,3489
enteertainment,3396
enterrtainment,3270
trravel,3258
entertainmentt,3254
entertainmnt,3049
travell,3020
utiities,3016
etertainment,3007
savigns,2975
educatiion,2838
entertaainment,2809
otheers,2781
utilitie,2780
utilitiess,2776
saviings,2764
enntertainment,2674
trvael,2546
othhers,2525
educatino,2428
entertaniment,2407
savinngs,2393
savingss,2329
savinsg,2281
ssavings,2276
travvel,2275
utiliteis,2132
tilities,2102
utiliies,2099
utilties,2084
savvings,2034
othes,2017
entertianment,1855
othrs,1841
other,1713
utlities,1709
entertainmetn,1691
entertainnment,1526
savnigs,1508
saivngs,1485
ohters,1472
eudcation,1412
entetrainment,1390
otherrs,1388
oters,1386
eentertainment,1342
ealth,1278
oothers,1266
savigs,1261
utiilties,1246
eduation,1171
utilites,1168
entrtainment,1148
entertaiinment,1091
saings,1051
entertainmet,987
savins,974
educationn,875
uitlities,869
heaalth,865
educatioon,797
enteratinment,779
edducation,767
otherss,748
utilitiies,738
utillities,726
svings,722
entertinment,721
saving,714
educcation,660
tohers,641
helath,638
trael,634
eeducation,630
utiliities,610
enertainment,537
entertaimnent,470
otthers,467
heath,354
entertainent,340
healh,301
educatio,258
enttertainment,246
entertainmennt,203
uilities,192
savinggs,187
etnertainment,179
ohers,169
eduucation,163
healt,154
savngs,144
uutilities,126
entetainment,111
uttilities,89
entertainmnet,31
enterttainment,17
