year_month,amount
2019-01,210322
2019-02,3224591
2019-03,235292
2019-04,3197126
2019-05,228644
2019-06,1220901
2019-07,1198331
2019-08,200848
2019-09,1239343
2019-10,1185940
2019-11,2166542
2019-12,2201730
2020-01,257609
2020-02,1207158
2020-03,2187738
2020-04,220027
2020-05,1206311
2020-06,220144
2020-07,3226500
2020-08,1213516
2020-09,214116
2020-10,195207
2020-11,1232915
2020-12,2207957
2021-01,206823
2021-02,203365
2021-03,1207869
2021-04,1202397
2021-05,168811
2021-06,1237690
2021-07,1212001
2021-08,2189096
2021-09,1186793
2021-10,193081
2021-11,189716
2021-12,2193757
2022-01,280502
2022-02,1195935
2022-03,1201537
2022-04,1203090
2022-05,1210385
2022-06,208000
2022-07,229113
2022-08,1191136
2022-09,2171849
2022-10,228505
2022-11,1244656
2022-12,1189438
